동,승차건수
상계6·7동,137882
하계1동,132641
신촌동,131782
역촌동,93565
성산2동,86697
인수동,85260
이화동,70883
여의동,66371
영등포동,64450
신내1동,62834
신대방2동,61963
연희동,59257
등촌3동,59109
방화1동,58474
상암동,57579
구의2동,57517
중계2·3동,54306
풍납2동,51504
신정3동,50325
도봉2동,46596
구산동,46107
둔촌2동,45155
월계2동,44518
가양2동,42223
길음1동,41509
세곡동,40896
종로1·2·3·4가동,40774
보라매동,39583
번3동,38672
상계2동,38468
고덕1동,37948
수서동,37678
휘경2동,37492
신정6동,36516
월계3동,36457
상일동,36149
상계1동,35463
구로5동,34629
면목3·8동,32950
번2동,32743
길동,32718
진관동,31688
서초1동,30520
장지동,29508
청운효자동,28135
가양1동,28081
대림3동,27800
왕십리도선동,27768
양재1동,27600
강일동,26055
일원1동,25414
목5동,24838
공릉1·3동,24625
오류2동,23610
홍은2동,23277
방화2동,22194
회기동,21383
천호2동,21089
방학1동,21080
역삼1동,20953
월곡2동,20819
반포4동,20313
구로2동,19950
응암2동,19798
마장동,19439
신사1동,19408
중계4동,18949
방화3동,18609
도곡1동,18604
독산1동,18547
삼각산동,18378
쌍문3동,18216
발산1동,17834
상계3·4동,17776
망우본동,17695
묵1동,17307
공릉2동,17298
월계1동,16777
흑석동,16669
한강로동,16244
남가좌2동,15778
화양동,15649
창1동,14773
교남동,14716
대흥동,14160
일원본동,13884
대방동,13694
송중동,13285
종암동,13101
신내2동,13015
안암동,13012
망원1동,12918
수궁동,12597
전농2동,12576
서교동,12519
창4동,11986
명동,11691
오금동,11659
우장산동,11648
중계1동,11400
신정7동,11364
가락본동,11261
은천동,10819
구의3동,10417
상봉1동,10152
일원2동,9720
내곡동,9165
명일1동,8850
성산1동,8774
가양3동,8666
구로3동,8633
삼성동,8550
개봉1동,8521
신정4동,8231
사직동,8017
회현동,7988
상도1동,7905
사근동,7778
북아현동,7630
신설동,7535
목1동,7442
충현동,7125
용두동,6931
삼선동,6862
남영동,6749
방이2동,6559
쌍문1동,6344
응암1동,6058
서초3동,5913
망원2동,5789
길음2동,5647
고척1동,5463
암사1동,5349
북가좌2동,5341
상봉2동,5212
송천동,4914
창5동,4789
도봉1동,4756
광희동,4727
방학3동,4720
서원동,4695
수유2동,4630
하계2동,4365
석관동,4345
공항동,4334
수유3동,4120
월곡1동,4060
오륜동,3829
삼성1동,3727
서빙고동,3685
당산1동,3668
응암3동,3546
신대방1동,3506
수유1동,3462
답십리3동,3350
성현동,3339
행당1동,3172
화곡6동,3123
독산3동,2989
대조동,2954
성내2동,2933
공덕동,2928
문정2동,2807
잠실2동,2743
불광1동,2622
번1동,2575
녹번동,2476
효창동,2390
우이동,2336
시흥1동,2332
양재2동,2261
성수1가1동,2239
삼양동,2225
한남동,2206
장안1동,2169
구의1동,2115
청량리동,2000
천호3동,1947
신도림동,1908
상도2동,1888
화곡1동,1887
잠실3동,1867
양평1동,1856
마천2동,1811
중곡2동,1715
노량진1동,1649
신월7동,1632
홍2동,1625
별내면,1561
청룡동,1512
대림1동,1482
천호1동,1467
잠실6동,1463
중계본동,1408
자금동,1401
이문3동,1363
갈현2동,1356
미성동,1355
염창동,1331
풍산동,1268
자양3동,1261
불광2동,1256
거여1동,1242
중곡4동,1225
미아동,1219
거여2동,1157
쌍문2동,1091
중화2동,1072
영등포본동,1042
문래동,1032
행운동,1019
장위1동,1006
평창동,1001
홍1동,979
난곡동,973
성내3동,923
잠원동,900
낙성대동,858
아현동,845
도화동,832
양평2동,832
석촌동,826
동선동,805
구로4동,797
방배2동,796
난향동,768
면목4동,719
답십리2동,707
면목본동,703
장위2동,667
방배4동,644
대치2동,636
창2동,636
신월1동,629
신사동,620
자양1동,616
성내1동,611
목4동,599
장안2동,595
증산동,594
목3동,587
홍3동,583
창3동,575
양촌면,568
가산동,565
고척2동,547
신림동,528
장안3동,527
장충동,526
화곡본동,526
시흥2동,525
면목2동,506
대학동,495
신정2동,483
상계10동,478
보문동,466
잠실7동,459
중화1동,458
혜화동,445
잠실본동,439
군자동,437
신길7동,435
남가좌1동,421
능동,420
과천동,415
왕십리2동,411
서강동,408
제기2동,400
답십리4동,393
창신1동,383
장항2동,382
중곡3동,374
상계5동,370
성수2가3동,361
압구정동,353
목2동,350
개봉2동,347
신길3동,341
천연동,335
신당1동,325
도림동,324
반포3동,324
논현1동,321
갈매동,321
송내1동,308
마천1동,305
황학동,305
이촌1동,292
신원동,292
쌍문4동,283
오류1동,274
당산2동,269
서초4동,261
종로5·6가동,261
장암동,259
홍은1동,258
소공동,257
화곡8동,255
신길6동,249
합정동,248
성곡동,245
갈현1동,243
가리봉동,240
서림동,239
논현2동,237
송산1동,226
대화동,221
청담동,217
등촌1동,217
흥도동,213
성수1가2동,210
휘경1동,209
동구동,207
삼전동,202
자양4동,199
부암동,196
숭인2동,190
제기1동,189
묵2동,186
신사2동,181
청림동,175
전농3동,173
보광동,169
대치1동,167
백석1동,166
방학2동,166
명일2동,166
청파동,163
행당2동,158
구미1동,156
정릉3동,147
송정동,146
서초2동,146
고양동,145
돈암2동,143
백석2동,139
필동,137
신곡2동,133
문원동,126
신길1동,125
독산4동,124
이문2동,123
광장동,120
성북동,118
사당2동,117
장안4동,116
자양2동,115
신월5동,111
진접읍,108
용답동,107
상계9동,105
정릉4동,102
철산3동,99
대곶면,98
방배3동,96
신당5동,95
소사동,93
신길5동,88
상3동,88
중앙동,86
상도4동,84
야탑3동,84
교문1동,83
금호1가동,83
중림동,82
화곡3동,80
신길4동,79
금곡동,78
시흥4동,78
삼성2동,77
고덕2동,77
수색동,76
정릉1동,76
신월6동,76
금호2·3가동,76
김포2동,74
송산2동,74
상도3동,73
신월3동,73
상계8동,72
독산2동,71
신월4동,70
송산동,69
후암동,68
감북동,66
화곡4동,66
정릉2동,65
신당4동,64
야탑1동,64
삼청동,63
답십리1동,63
성남동,63
퇴계원면,60
노량진2동,60
하안3동,60
복정동,60
무악동,58
소하2동,57
수택3동,55
고촌면,54
월곶면,53
사당3동,53
사우동,52
신당3동,52
탄현동,52
인헌동,52
이태원1동,52
비산3동,50
소하1동,49
개봉3동,48
역삼2동,48
창릉동,46
신월2동,44
송파1동,44
돈암1동,42
시흥5동,40
호원1동,39
개포2동,38
춘의동,37
신장2동,37
화정1동,36
면목7동,35
대치4동,35
화곡2동,32
풍무동,31
암사2동,31
김포1동,29
용강동,29
성수2가1동,28
개포4동,28
하안1동,26
송포동,26
원효로2동,26
고봉동,25
의정부2동,24
오남읍,24
화도읍,24
대림2동,22
녹양동,20
북가좌1동,20
반포1동,20
하안2동,19
중곡1동,19
서현1동,18
행주동,18
풍납1동,18
반포2동,18
면목5동,18
장위3동,17
등촌2동,16
사당5동,16
광명5동,16
옥수동,16
방배본동,15
조안면,15
오정동,15
을지로동,14
도곡2동,13
일산2동,13
정자1동,13
금호4가동,12
철산2동,12
마두1동,12
식사동,12
와부읍,11
원효로1동,11
신당6동,11
연남동,11
이촌2동,11
도당동,11
덕풍2동,10
신곡1동,10
범계동,10
용문동,10
수택1동,9
장흥면,9
문정1동,9
영종동,8
가락1동,8
상2동,8
신도동,7
사당1동,7
중3동,7
암사3동,7
삼평동,7
의정부3동,7
염리동,6
회천2동,6
가회동,6
조원동,6
학온동,6
남현동,5
잠실4동,5
사당4동,5
중4동,5
망우3동,5
운중동,5
방이1동,5
가락2동,5
명륜3가동,5
시흥3동,5
신당2동,5
관양2동,5
행신1동,5
송파2동,5
구미동,5
심곡2동,4
석수2동,4
의정부1동,4
이매1동,4
능곡동,4
효자동,4
행신2동,4
용산2가동,4
안양1동,4
전농1동,4
지금동,4
고강본동,4
도촌동,4
성사1동,3
덕풍3동,3
범박동,3
철산1동,3
단대동,3
관산동,3
가능1동,3
신수동,3
심곡1동,3
양주1동,2
화전동,2
역곡3동,2
광명2동,2
광명3동,2
호계3동,2
인창동,2
원신동,2
